id,hoa_giap_a,hoa_giap_b,nap_am_a,nap_am_b,hanh_a,hanh_b,quan_he_ngu_hanh,quan_he_dia_chi,cung_chi,nguon,ghi_chu
Giáp Tý|Giáp Ngọ,Giáp Tý,Giáp Ngọ,Hải Trung Kim,Sa Trung Kim,Kim,Kim,tuong_hoa,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Ất Mùi,Giáp Tý,Ất Mùi,Hải Trung Kim,Sa Trung Kim,Kim,Kim,tuong_hoa,luc_hai,khong,tinh-toan,
Giáp Tý|Bính Thân,Giáp Tý,Bính Thân,Hải Trung Kim,Sơn Hạ Hỏa,Kim,Hỏa,tuong_khac,tam_hop,khong,tinh-toan,
Giáp Tý|Đinh Dậu,Giáp Tý,Đinh Dậu,Hải Trung Kim,Sơn Hạ Hỏa,Kim,Hỏa,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Mậu Tuất,Giáp Tý,Mậu Tuất,Hải Trung Kim,Bình Địa Mộc,Kim,Mộc,tuong_khac,binh_thuong,khong,tinh-toan,
Giáp Tý|Kỷ Hợi,Giáp Tý,Kỷ Hợi,Hải Trung Kim,Bình Địa Mộc,Kim,Mộc,tuong_khac,binh_thuong,khong,tinh-toan,
Giáp Tý|Canh Tý,Giáp Tý,Canh Tý,Hải Trung Kim,Bích Thượng Thổ,Kim,Thổ,tuong_sinh,cung_chi,co,tinh-toan,
Giáp Tý|Tân Sửu,Giáp Tý,Tân Sửu,Hải Trung Kim,Bích Thượng Thổ,Kim,Thổ,tuong_sinh,luc_hop,khong,tinh-toan,
Giáp Tý|Nhâm Dần,Giáp Tý,Nhâm Dần,Hải Trung Kim,Kim Bạc Kim,Kim,Kim,tuong_hoa,binh_thuong,khong,tinh-toan,
Giáp Tý|Quý Mão,Giáp Tý,Quý Mão,Hải Trung Kim,Kim Bạc Kim,Kim,Kim,tuong_hoa,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Giáp Thìn,Giáp Tý,Giáp Thìn,Hải Trung Kim,Phú Đăng Hỏa,Kim,Hỏa,tuong_khac,tam_hop,khong,tinh-toan,
Giáp Tý|Ất Tỵ,Giáp Tý,Ất Tỵ,Hải Trung Kim,Phú Đăng Hỏa,Kim,Hỏa,tuong_khac,binh_thuong,khong,tinh-toan,
Giáp Tý|Bính Ngọ,Giáp Tý,Bính Ngọ,Hải Trung Kim,Thiên Hà Thủy,Kim,Thủy,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Đinh Mùi,Giáp Tý,Đinh Mùi,Hải Trung Kim,Thiên Hà Thủy,Kim,Thủy,tuong_sinh,luc_hai,khong,tinh-toan,
Giáp Tý|Mậu Thân,Giáp Tý,Mậu Thân,Hải Trung Kim,Đại Trạch Thổ,Kim,Thổ,tuong_sinh,tam_hop,khong,tinh-toan,
Giáp Tý|Kỷ Dậu,Giáp Tý,Kỷ Dậu,Hải Trung Kim,Đại Trạch Thổ,Kim,Thổ,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Canh Tuất,Giáp Tý,Canh Tuất,Hải Trung Kim,Thoa Xuyến Kim,Kim,Kim,tuong_hoa,binh_thuong,khong,tinh-toan,
Giáp Tý|Tân Hợi,Giáp Tý,Tân Hợi,Hải Trung Kim,Thoa Xuyến Kim,Kim,Kim,tuong_hoa,binh_thuong,khong,tinh-toan,
Giáp Tý|Nhâm Tý,Giáp Tý,Nhâm Tý,Hải Trung Kim,Tang Đố Mộc,Kim,Mộc,tuong_khac,cung_chi,co,tinh-toan,
Giáp Tý|Quý Sửu,Giáp Tý,Quý Sửu,Hải Trung Kim,Tang Đố Mộc,Kim,Mộc,tuong_khac,luc_hop,khong,tinh-toan,
Giáp Tý|Giáp Dần,Giáp Tý,Giáp Dần,Hải Trung Kim,Đại Khê Thủy,Kim,Thủy,tuong_sinh,binh_thuong,khong,tinh-toan,
Giáp Tý|Ất Mão,Giáp Tý,Ất Mão,Hải Trung Kim,Đại Khê Thủy,Kim,Thủy,tuong_sinh,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Bính Thìn,Giáp Tý,Bính Thìn,Hải Trung Kim,Sa Trung Thổ,Kim,Thổ,tuong_sinh,tam_hop,khong,tinh-toan,
Giáp Tý|Đinh Tỵ,Giáp Tý,Đinh Tỵ,Hải Trung Kim,Sa Trung Thổ,Kim,Thổ,tuong_sinh,binh_thuong,khong,tinh-toan,
Giáp Tý|Mậu Ngọ,Giáp Tý,Mậu Ngọ,Hải Trung Kim,Thiên Thượng Hỏa,Kim,Hỏa,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Kỷ Mùi,Giáp Tý,Kỷ Mùi,Hải Trung Kim,Thiên Thượng Hỏa,Kim,Hỏa,tuong_khac,luc_hai,khong,tinh-toan,
Giáp Tý|Canh Thân,Giáp Tý,Canh Thân,Hải Trung Kim,Thạch Lựu Mộc,Kim,Mộc,tuong_khac,tam_hop,khong,tinh-toan,
Giáp Tý|Tân Dậu,Giáp Tý,Tân Dậu,Hải Trung Kim,Thạch Lựu Mộc,Kim,Mộc,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Giáp Tý|Nhâm Tuất,Giáp Tý,Nhâm Tuất,Hải Trung Kim,Đại Hải Thủy,Kim,Thủy,tuong_sinh,binh_thuong,khong,tinh-toan,
Giáp Tý|Quý Hợi,Giáp Tý,Quý Hợi,Hải Trung Kim,Đại Hải Thủy,Kim,Thủy,tuong_sinh,binh_thuong,khong,tinh-toan,
Ất Sửu|Giáp Tý,Ất Sửu,Giáp Tý,Hải Trung Kim,Hải Trung Kim,Kim,Kim,tuong_hoa,luc_hop,khong,tinh-toan,
Ất Sửu|Ất Sửu,Ất Sửu,Ất Sửu,Hải Trung Kim,Hải Trung Kim,Kim,Kim,tuong_hoa,cung_chi,co,tinh-toan,
Ất Sửu|Bính Dần,Ất Sửu,Bính Dần,Hải Trung Kim,Lư Trung Hỏa,Kim,Hỏa,tuong_khac,binh_thuong,khong,tinh-toan,
Ất Sửu|Đinh Mão,Ất Sửu,Đinh Mão,Hải Trung Kim,Lư Trung Hỏa,Kim,Hỏa,tuong_khac,binh_thuong,khong,tinh-toan,
Ất Sửu|Mậu Thìn,Ất Sửu,Mậu Thìn,Hải Trung Kim,Đại Lâm Mộc,Kim,Mộc,tuong_khac,tu_hanh_xung,khong,tinh-toan,
Ất Sửu|Kỷ Tỵ,Ất Sửu,Kỷ Tỵ,Hải Trung Kim,Đại Lâm Mộc,Kim,Mộc,tuong_khac,tam_hop,khong,tinh-toan,
