id,chi_1,con_giap_1,chi_2,con_giap_2,quan_he,nguon,ghi_chu
6-12,Tỵ,Rắn,Hợi,Lợn,tu_hanh_xung,tinh-toan,
7-1,Ngọ,Ngựa,Tý,Chuột,tu_hanh_xung,tinh-toan,
7-2,Ngọ,Ngựa,Sửu,Trâu,luc_hai,tinh-toan,
7-3,Ngọ,Ngựa,Dần,Hổ,tam_hop,tinh-toan,
7-4,Ngọ,Ngựa,Mão,Mèo,tu_hanh_xung,tinh-toan,
7-5,Ngọ,Ngựa,Thìn,Rồng,binh_thuong,tinh-toan,
7-6,Ngọ,Ngựa,Tỵ,Rắn,binh_thuong,tinh-toan,
7-7,Ngọ,Ngựa,Ngọ,Ngựa,cung_chi,tinh-toan,
7-8,Ngọ,Ngựa,Mùi,Dê,binh_thuong,tinh-toan,
7-9,Ngọ,Ngựa,Thân,Khỉ,binh_thuong,tinh-toan,
7-10,Ngọ,Ngựa,Dậu,Gà,tu_hanh_xung,tinh-toan,
7-11,Ngọ,Ngựa,Tuất,Chó,tam_hop,tinh-toan,
7-12,Ngọ,Ngựa,Hợi,Lợn,binh_thuong,tinh-toan,
8-1,Mùi,Dê,Tý,Chuột,luc_hai,tinh-toan,
8-2,Mùi,Dê,Sửu,Trâu,tu_hanh_xung,tinh-toan,
8-3,Mùi,Dê,Dần,Hổ,binh_thuong,tinh-toan,
8-4,Mùi,Dê,Mão,Mèo,tam_hop,tinh-toan,
8-5,Mùi,Dê,Thìn,Rồng,tu_hanh_xung,tinh-toan,
8-6,Mùi,Dê,Tỵ,Rắn,binh_thuong,tinh-toan,
8-7,Mùi,Dê,Ngọ,Ngựa,binh_thuong,tinh-toan,
8-8,Mùi,Dê,Mùi,Dê,cung_chi,tinh-toan,
8-9,Mùi,Dê,Thân,Khỉ,binh_thuong,tinh-toan,
8-10,Mùi,Dê,Dậu,Gà,binh_thuong,tinh-toan,
8-11,Mùi,Dê,Tuất,Chó,tu_hanh_xung,tinh-toan,
8-12,Mùi,Dê,Hợi,Lợn,tam_hop,tinh-toan,
9-1,Thân,Khỉ,Tý,Chuột,tam_hop,tinh-toan,
9-2,Thân,Khỉ,Sửu,Trâu,binh_thuong,tinh-toan,
9-3,Thân,Khỉ,Dần,Hổ,tu_hanh_xung,tinh-toan,
